event,Hora normalizada,key,user,session_id
keydown,42127258,101,User7,366924162
keyup,42127331,101,User7,366924162
keydown,42127518,97,User7,366924162
keyup,42127662,97,User7,366924162
keydown,42127663,107,User7,366924162
keyup,42127709,107,User7,366924162
keydown,42127759,0,User7,366924162
keyup,42127852,0,User7,366924162
keydown,42127876,83,User7,366924162
keyup,42127948,83,User7,366924162
keydown,42127970,94,User7,366924162
keydown,42128038,87,User7,366924162
keyup,42128061,94,User7,366924162
keyup,42128106,87,User7,366924162
keydown,42128188,106,User7,366924162
keyup,42128302,106,User7,366924162
keydown,42128324,0,User7,366924162
keyup,42128418,0,User7,366924162
keydown,42128419,86,User7,366924162
keydown,42128529,87,User7,366924162
keyup,42128554,86,User7,366924162
keyup,42128623,87,User7,366924162
keydown,42128684,101,User7,366924162
keyup,42128774,101,User7,366924162
keydown,42128796,86,User7,366924162
keydown,42128861,87,User7,366924162
keyup,42128908,86,User7,366924162
keyup,42128954,87,User7,366924162
keydown,42128976,0,User7,366924162
keyup,42129044,0,User7,366924162
keydown,42129161,95,User7,366924162
keydown,42129253,91,User7,366924162
keyup,42129298,95,User7,366924162
keydown,42129344,0,User7,366924162
keyup,42129368,91,User7,366924162
keyup,42129416,0,User7,366924162
keydown,42129463,97,User7,366924162
keydown,42129529,100,User7,366924162
keyup,42129552,97,User7,366924162
keyup,42129595,100,User7,366924162
keydown,42129671,86,User7,366924162
keydown,42129716,87,User7,366924162
keyup,42129740,86,User7,366924162
keyup,42129809,87,User7,366924162
keydown,42129811,96,User7,366924162
keyup,42129900,96,User7,366924162
keydown,42129901,83,User7,366924162
keyup,42129993,83,User7,366924162
keydown,42129994,86,User7,366924162
keyup,42130082,86,User7,366924162
keydown,42130104,97,User7,366924162
keyup,42130174,97,User7,366924162
keydown,42130197,100,User7,366924162
keyup,42130267,100,User7,366924162
keydown,42130305,0,User7,366924162
keyup,42130417,0,User7,366924162
keydown,42130890,101,User7,366924162
keyup,42130984,101,User7,366924162
keydown,42131421,87,User7,366924162
keyup,42131489,87,User7,366924162
keydown,42131574,85,User7,366924162
keyup,42131643,85,User7,366924162
keydown,42131666,103,User7,366924162
keyup,42131760,103,User7,366924162
keydown,42131761,87,User7,366924162
keydown,42131803,101,User7,366924162
keyup,42131849,87,User7,366924162
keyup,42131895,101,User7,366924162
keydown,42131954,102,User7,366924162
keydown,42132020,83,User7,366924162
keyup,42132044,102,User7,366924162
keydown,42132111,96,User7,366924162
keyup,42132134,83,User7,366924162
keyup,42132201,96,User7,366924162
keydown,42132202,86,User7,366924162
keyup,42132292,86,User7,366924162
keydown,42132293,97,User7,366924162
keydown,42132337,0,User7,366924162
keyup,42132382,97,User7,366924162
keydown,42132404,83,User7,366924162
keyup,42132450,0,User7,366924162
keyup,42132497,83,User7,366924162
keydown,42132518,0,User7,366924162
keyup,42132587,0,User7,366924162
keydown,42132609,83,User7,366924162
keyup,42132702,83,User7,366924162
keydown,42132724,96,User7,366924162
keyup,42132815,96,User7,366924162
keydown,42132816,83,User7,366924162
keyup,42132906,83,User7,366924162
keydown,42134469,47,User7,366924162
keyup,42134563,47,User7,366924162
keydown,42142041,32,User7,366924162
keydown,42142307,29,User7,366924162
keyup,42142415,29,User7,366924162
keyup,42142428,32,User7,366924162
keydown,42142582,95,User7,366924162
keyup,42142701,95,User7,366924162
keydown,42142702,83,User7,366924162
keyup,42142831,83,User7,366924162
keydown,42142832,100,User7,366924162
keydown,42142876,91,User7,366924162
keyup,42142923,100,User7,366924162
keyup,42143013,91,User7,366924162
keydown,42143014,96,User7,366924162
keyup,42143150,96,User7,366924162
keydown,42143360,47,User7,366924162
keyup,42143445,47,User7,366924162
keydown,42143862,0,User7,366924162
keyup,42143975,0,User7,366924162
keydown,42143998,83,User7,366924162
keyup,42144089,83,User7,366924162
keydown,42144112,0,User7,366924162
keyup,42144203,0,User7,366924162
keydown,42144204,95,User7,366924162
keydown,42144292,91,User7,366924162
keyup,42144337,95,User7,366924162
keyup,42144428,91,User7,366924162
keydown,42144430,0,User7,366924162
keyup,42144495,0,User7,366924162
keydown,42145856,38,User7,366924162
keyup,42145966,38,User7,366924162
keydown,42146023,38,User7,366924162
keyup,42146089,38,User7,366924162
keydown,42146274,38,User7,366924162
keyup,42146320,38,User7,366924162
keydown,42146412,38,User7,366924162
keyup,42146458,38,User7,366924162
keydown,42146522,38,User7,366924162
keyup,42146567,38,User7,366924162
keydown,42146629,38,User7,366924162
keyup,42146699,38,User7,366924162
keydown,42146840,96,User7,366924162
keyup,42146933,96,User7,366924162
keydown,42146962,97,User7,366924162
keydown,42147052,0,User7,366924162
keyup,42147074,97,User7,366924162
keyup,42147165,0,User7,366924162
keydown,42147228,99,User7,366924162
keyup,42147318,99,User7,366924162
keydown,42147340,103,User7,366924162
keyup,42147431,103,User7,366924162
keydown,42147433,87,User7,366924162
keyup,42147544,87,User7,366924162
keydown,42147545,100,User7,366924162
keyup,42147613,100,User7,366924162
keydown,42147643,91,User7,366924162
keyup,42147730,91,User7,366924162
keydown,42147760,83,User7,366924162
keyup,42147850,83,User7,366924162
keydown,42147852,0,User7,366924162
keyup,42147941,0,User7,366924162
keydown,42147962,86,User7,366924162
keydown,42148006,87,User7,366924162
keyup,42148031,86,User7,366924162
keyup,42148079,87,User7,366924162
keydown,42148116,85,User7,366924162
keyup,42148185,85,User7,366924162
keydown,42148231,91,User7,366924162
keydown,42148298,100,User7,366924162
keyup,42148322,91,User7,366924162
keyup,42148345,100,User7,366924162
keydown,42148376,0,User7,366924162
keyup,42148445,0,User7,366924162
keydown,42148497,83,User7,366924162
keydown,42148517,96,User7,366924162
keyup,42148587,83,User7,366924162
keyup,42148588,96,User7,366924162
keydown,42148608,86,User7,366924162
keydown,42148699,83,User7,366924162
keyup,42148724,86,User7,366924162
keyup,42148814,83,User7,366924162
keydown,42148874,11,User7,366924162
keyup,42148946,11,User7,366924162
keydown,42149028,11,User7,366924162
keyup,42149096,11,User7,366924162
keydown,42149172,11,User7,366924162
keyup,42149264,11,User7,366924162
keydown,42149331,11,User7,366924162
keyup,42149421,11,User7,366924162
keydown,42149422,0,User7,366924162
keyup,42149490,0,User7,366924162
keydown,42149539,98,User7,366924162
keydown,42149585,87,User7,366924162
keyup,42149631,98,User7,366924162
keydown,42149633,100,User7,366924162
keyup,42149677,87,User7,366924162
keyup,42149722,100,User7,366924162
keydown,42149723,97,User7,366924162
keydown,42149790,0,User7,366924162
keyup,42149812,97,User7,366924162
keyup,42149857,0,User7,366924162
keydown,42150019,107,User7,366924162
keyup,42150133,107,User7,366924162
keydown,42150156,97,User7,366924162
keydown,42150222,0,User7,366924162
keyup,42150291,97,User7,366924162
keyup,42150314,0,User7,366924162
keydown,42150429,71,User7,366924162
keydown,42150499,72,User7,366924162
keyup,42150566,72,User7,366924162
keyup,42150594,71,User7,366924162
keydown,42150818,83,User7,366924162
keyup,42150931,83,User7,366924162
keydown,42150932,95,User7,366924162
keyup,42151001,95,User7,366924162
keydown,42151023,84,User7,366924162
keyup,42151091,84,User7,366924162
keydown,42151115,91,User7,366924162
keyup,42151205,91,User7,366924162
keydown,42151268,87,User7,366924162
keyup,42151339,87,User7,366924162
keydown,42151431,96,User7,366924162
keyup,42151501,96,User7,366924162
keydown,42151539,0,User7,366924162
keyup,42151607,0,User7,366924162
keydown,42151654,102,User7,366924162
keydown,42151699,87,User7,366924162
keyup,42151724,102,User7,366924162
keyup,42151793,87,User7,366924162
keydown,42151853,0,User7,366924162
keyup,42151967,0,User7,366924162
keydown,42152026,83,User7,366924162
keydown,42152049,71,User7,366924162
keyup,42152119,30,User7,366924162
keydown,42152165,59,User7,366924162
keyup,42152320,59,User7,366924162
keydown,42152321,62,User7,366924162
keyup,42152432,62,User7,366924162
keyup,42152478,71,User7,366924162
keydown,42152577,47,User7,366924162
keyup,42152667,47,User7,366924162
keydown,42171557,95,User7,366924162
keyup,42171671,95,User7,366924162
keydown,42171693,83,User7,366924162
keydown,42172193,83,User7,366924162
keydown,42172245,83,User7,366924162
keydown,42172295,83,User7,366924162
keydown,42172346,83,User7,366924162
keydown,42172396,83,User7,366924162
keydown,42172449,83,User7,366924162
keydown,42172496,83,User7,366924162
keydown,42172550,83,User7,366924162
keydown,42172599,83,User7,366924162
keydown,42172649,83,User7,366924162
keydown,42172700,83,User7,366924162
keydown,42172750,83,User7,366924162
keydown,42172801,83,User7,366924162
keydown,42172852,83,User7,366924162
keydown,42172902,83,User7,366924162
keydown,42172953,83,User7,366924162
keyup,42172996,83,User7,366924162
keydown,42173062,94,User7,366924162
keyup,42173152,94,User7,366924162
keydown,42173445,0,User7,366924162
keyup,42173514,0,User7,366924162
keydown,42173536,71,User7,366924162
keydown,42173650,23,User7,366924162
keyup,42173826,23,User7,366924162
keydown,42173827,5,User7,366924162
keyup,42173882,5,User7,366924162
keyup,42173905,71,User7,366924162
keydown,42174023,47,User7,366924162
keyup,42174116,47,User7,366924162
keydown,42175014,71,User7,366924162
keydown,42175196,23,User7,366924162
keyup,42175318,71,User7,366924162
keyup,42175324,11,User7,366924162
keydown,42175759,84,User7,366924162
keydown,42175848,83,User7,366924162
keyup,42175900,84,User7,366924162
keyup,42175982,83,User7,366924162
keydown,42176064,86,User7,366924162
keyup,42176181,86,User7,366924162
keydown,42177524,33,User7,366924162
keyup,42177655,33,User7,366924162
keydown,42177991,47,User7,366924162
keyup,42178122,47,User7,366924162
keydown,42178387,47,User7,366924162
keyup,42178472,47,User7,366924162
keydown,42179458,71,User7,366924162
keydown,42180808,23,User7,366924162
keyup,42180960,23,User7,366924162
keyup,42180994,71,User7,366924162
keydown,42181547,84,User7,366924162
keyup,42181671,84,User7,366924162
keydown,42181726,87,User7,366924162
keyup,42181847,87,User7,366924162
keydown,42181937,101,User7,366924162
