event,Hora normalizada,key,user,session_id
keydown,50345279,32,User9,366843320
keydown,50345331,29,User9,366843320
keyup,50345474,32,User9,366843320
keyup,50345484,15,User9,366843320
keydown,50347037,83,User9,366843320
keyup,50347171,83,User9,366843320
keydown,50347177,94,User9,366843320
keyup,50347230,94,User9,366843320
keydown,50347279,87,User9,366843320
keyup,50347391,87,User9,366843320
keydown,50348017,47,User9,366843320
keyup,50348124,47,User9,366843320
keydown,50348465,9,User9,366843320
keyup,50348537,9,User9,366843320
keydown,50348543,0,User9,366843320
keyup,50348623,0,User9,366843320
keydown,50348716,102,User9,366843320
keyup,50348787,102,User9,366843320
keydown,50348789,87,User9,366843320
keydown,50348831,0,User9,366843320
keyup,50348854,87,User9,366843320
keydown,50348943,95,User9,366843320
keyup,50348985,0,User9,366843320
keyup,50349003,95,User9,366843320
keydown,50349104,97,User9,366843320
keyup,50349164,97,User9,366843320
keydown,50349215,94,User9,366843320
keydown,50349323,83,User9,366843320
keyup,50349345,94,User9,366843320
keydown,50349366,100,User9,366843320
keyup,50349410,83,User9,366843320
keyup,50349464,100,User9,366843320
keydown,50349486,43,User9,366843320
keyup,50349544,43,User9,366843320
keydown,50349666,91,User9,366843320
keydown,50349744,83,User9,366843320
keyup,50349767,91,User9,366843320
keyup,50349794,83,User9,366843320
keydown,50349812,0,User9,366843320
keyup,50349906,0,User9,366843320
keydown,50349920,99,User9,366843320
keydown,50350007,103,User9,366843320
keyup,50350079,103,User9,366843320
keydown,50350080,87,User9,366843320
keyup,50350135,99,User9,366843320
keyup,50350197,87,User9,366843320
keydown,50350200,0,User9,366843320
keyup,50350293,0,User9,366843320
keydown,50350326,83,User9,366843320
keyup,50350437,83,User9,366843320
keydown,50350451,98,User9,366843320
keyup,50350542,98,User9,366843320
keydown,50350543,83,User9,366843320
keyup,50350651,83,User9,366843320
keydown,50350884,38,User9,366843320
keyup,50350968,38,User9,366843320
keydown,50351043,38,User9,366843320
keyup,50351156,38,User9,366843320
keydown,50351214,38,User9,366843320
keyup,50351328,38,User9,366843320
keydown,50351459,83,User9,366843320
keyup,50351551,83,User9,366843320
keydown,50351640,98,User9,366843320
keyup,50351728,98,User9,366843320
keydown,50351729,83,User9,366843320
keyup,50351802,83,User9,366843320
keydown,50351939,89,User9,366843320
keyup,50352027,89,User9,366843320
keydown,50352051,83,User9,366843320
keyup,50352131,83,User9,366843320
keydown,50352275,101,User9,366843320
keyup,50352347,101,User9,366843320
keydown,50352483,87,User9,366843320
keydown,50352564,0,User9,366843320
keyup,50352588,87,User9,366843320
keyup,50352635,0,User9,366843320
keydown,50352698,94,User9,366843320
keydown,50352730,87,User9,366843320
keyup,50352757,87,User9,366843320
keyup,50352766,94,User9,366843320
keydown,50352787,0,User9,366843320
keyup,50352936,0,User9,366843320
keydown,50352938,101,User9,366843320
keyup,50352975,101,User9,366843320
keydown,50353140,87,User9,366843320
keydown,50353171,100,User9,366843320
keyup,50353242,87,User9,366843320
keyup,50353268,100,User9,366843320
keydown,50353531,38,User9,366843320
keyup,50353612,38,User9,366843320
keydown,50353700,38,User9,366843320
keyup,50353718,38,User9,366843320
keydown,50353793,38,User9,366843320
keyup,50353868,38,User9,366843320
keydown,50354166,101,User9,366843320
keyup,50354252,101,User9,366843320
keydown,50354372,87,User9,366843320
keydown,50354452,100,User9,366843320
keyup,50354491,87,User9,366843320
keyup,50354508,100,User9,366843320
keydown,50354612,104,User9,366843320
keyup,50354691,104,User9,366843320
keydown,50354707,91,User9,366843320
keyup,50354768,91,User9,366843320
keydown,50354809,86,User9,366843320
keyup,50354911,86,User9,366843320
keydown,50354915,97,User9,366843320
keyup,50354986,97,User9,366843320
keydown,50355000,100,User9,366843320
keydown,50355067,71,User9,366843320
keyup,50355090,69,User9,366843320
keydown,50355139,28,User9,366843320
keyup,50355196,71,User9,366843320
keyup,50355211,4,User9,366843320
keydown,50355283,47,User9,366843320
keyup,50355352,47,User9,366843320
keydown,50366660,101,User9,366843320
keyup,50366715,101,User9,366843320
keydown,50366851,105,User9,366843320
keyup,50366962,105,User9,366843320
keydown,50366981,91,User9,366843320
keyup,50367106,91,User9,366843320
keydown,50367122,102,User9,366843320
keyup,50367195,102,User9,366843320
keydown,50367332,85,User9,366843320
keydown,50367387,90,User9,366843320
keyup,50367426,85,User9,366843320
keyup,50367446,90,User9,366843320
keydown,50367603,0,User9,366843320
keyup,50367698,0,User9,366843320
keydown,50368704,47,User9,366843320
keyup,50368809,47,User9,366843320
