event,Hora normalizada,key,user,session_id
keydown,51416475,90,User7,366931786
keyup,51416581,90,User7,366931786
keydown,51416658,97,User7,366931786
keyup,51416748,97,User7,366931786
keydown,51416826,94,User7,366931786
keyup,51416934,94,User7,366931786
keydown,51417036,91,User7,366931786
keydown,51417539,91,User7,366931786
keydown,51417569,91,User7,366931786
keydown,51417600,91,User7,366931786
keydown,51417630,91,User7,366931786
keydown,51417661,91,User7,366931786
keydown,51417690,91,User7,366931786
keydown,51417721,91,User7,366931786
keydown,51417754,91,User7,366931786
keydown,51417783,91,User7,366931786
keydown,51417813,91,User7,366931786
keydown,51417877,67,User7,366931786
keydown,51417902,91,User7,366931786
keydown,51417935,91,User7,366931786
keydown,51417966,91,User7,366931786
keydown,51417995,91,User7,366931786
keydown,51418030,91,User7,366931786
keyup,51418049,91,User7,366931786
keydown,51418467,47,User7,366931786
keyup,51418541,47,User7,366931786
keydown,51423329,101,User7,366931786
keyup,51423417,101,User7,366931786
keydown,51423558,97,User7,366931786
keyup,51423628,97,User7,366931786
keydown,51423724,107,User7,366931786
keyup,51423818,107,User7,366931786
keydown,51423846,0,User7,366931786
keyup,51423937,0,User7,366931786
keydown,51424195,71,User7,366931786
keydown,51424394,55,User7,366931786
keyup,51424441,71,User7,366931786
keydown,51424485,67,User7,366931786
keyup,51424488,91,User7,366931786
keydown,51424491,101,User7,366931786
keyup,51424550,101,User7,366931786
keydown,51424654,83,User7,366931786
keyup,51424720,83,User7,366931786
keydown,51424824,83,User7,366931786
keydown,51424938,85,User7,366931786
keyup,51424964,83,User7,366931786
keydown,51424983,0,User7,366931786
keyup,51425010,85,User7,366931786
keyup,51425052,0,User7,366931786
keydown,51425123,101,User7,366931786
keyup,51425194,101,User7,366931786
keydown,51425264,87,User7,366931786
keyup,51425330,87,User7,366931786
keydown,51425353,85,User7,366931786
keydown,51425471,67,User7,366931786
keyup,51425473,85,User7,366931786
keydown,51425477,103,User7,366931786
keyup,51425562,103,User7,366931786
keydown,51425581,87,User7,366931786
keyup,51425655,87,User7,366931786
keydown,51425753,101,User7,366931786
keyup,51425826,101,User7,366931786
keydown,51425912,102,User7,366931786
keydown,51425938,100,User7,366931786
keyup,51425983,102,User7,366931786
keyup,51426031,100,User7,366931786
keydown,51426108,83,User7,366931786
keydown,51426200,96,User7,366931786
keyup,51426222,83,User7,366931786
keyup,51426292,96,User7,366931786
keydown,51426315,86,User7,366931786
keyup,51426382,86,User7,366931786
keydown,51426404,97,User7,366931786
keyup,51426454,97,User7,366931786
keydown,51426520,0,User7,366931786
keydown,51426591,67,User7,366931786
