90.0,111.0,111.0,57.0,1
90.0,111.0,110.0,57.0,1
90.0,111.0,110.0,56.0,1
90.0,111.5,109.0,56.0,1
90.0,112.0,109.0,56.0,1
90.0,112.0,109.0,55.0,1
90.0,112.0,109.0,55.0,1
90.0,112.0,109.5,58.0,1
90.0,112.0,110.0,58.0,1
90.0,112.0,108.0,58.0,1
90.0,112.0,108.0,58.0,1
90.0,112.0,106.0,58.0,1
90.0,112.0,108.0,59.0,1
90.0,113.0,102.0,59.0,1
90.0,112.0,99.0,59.0,1
90.0,112.0,96.0,58.0,1
90.0,111.0,94.0,56.0,1
90.0,94.0,92.5,52.0,1
91.0,96.0,98.0,49.0,1
91.0,97.0,98.0,49.0,1
91.0,97.0,98.0,49.0,1
91.0,96.0,95.0,47.0,1
91.0,96.0,95.0,47.0,1
91.0,99.0,95.0,48.0,1
91.0,99.0,95.0,49.0,1
91.0,97.0,95.0,48.0,1
91.0,97.0,95.0,47.0,1
91.0,97.0,95.0,47.0,1
91.0,98.5,95.0,47.0,1
91.0,95.0,95.0,47.0,1
91.0,111.0,99.0,52.5,1
91.0,111.5,97.0,52.0,1
91.0,109.0,94.0,51.5,1
91.0,100.0,95.0,47.0,1
91.0,93.0,93.0,47.0,1
91.0,93.5,92.0,46.0,1
92.0,94.5,91.0,54.0,1
92.0,93.0,91.0,48.5,1
92.0,93.0,91.0,47.5,1
92.0,93.5,95.5,52.0,1
92.0,94.0,95.0,52.0,1
90.0,92.0,93.0,44.0,1
90.0,92.0,93.0,44.0,1
90.0,92.0,92.0,43.0,1
90.0,92.0,92.0,44.0,1
90.0,111.0,93.0,52.0,1
90.0,101.0,93.0,48.0,1
90.0,100.0,94.0,47.5,1
90.0,94.5,93.0,52.0,1
90.0,115.0,113.0,53.5,1
92.0,114.0,112.0,44.0,1
93.0,114.0,111.0,46.0,1
93.0,115.0,120.0,61.5,1
92.0,133.0,128.5,42.0,1
70.0,94.0,94.0,28.0,1
90.0,107.0,119.0,60.0,1
68.0,137.0,136.0,78.0,1
68.0,137.0,135.0,78.0,1
68.0,136.5,134.0,76.5,1
68.0,136.0,132.0,75.0,1
68.0,136.5,133.5,75.0,1
68.0,136.0,131.5,74.5,1
68.0,133.0,129.5,73.0,1
68.0,136.0,131.0,72.0,1
69.0,138.0,136.5,78.0,1
69.0,138.0,136.5,79.0,1
108.0,143.0,145.0,89.0,1
107.0,143.0,145.5,88.0,1
107.0,154.0,141.0,105.0,1
92.0,134.0,129.5,77.0,1
92.0,134.0,124.0,77.0,1
93.0,136.0,133.0,81.0,1
93.0,136.0,133.0,80.0,1
92.0,141.0,135.0,80.0,1
92.0,141.0,133.0,84.5,1
92.0,141.0,120.5,84.0,1
90.0,164.0,157.0,108.0,1
90.0,164.0,157.0,107.0,1
90.0,164.0,157.0,105.0,1
90.0,161.0,154.0,100.5,1
90.0,161.0,151.0,104.0,1
89.0,157.0,146.0,92.0,1
89.0,153.0,155.5,95.0,1
89.0,159.0,158.0,116.0,1
90.0,155.0,154.5,94.5,1
90.0,155.0,154.0,93.0,1
90.5,156.0,141.0,114.5,1
70.0,110.5,119.0,70.5,2
92.0,116.0,111.5,63.5,2
92.0,127.5,123.5,70.0,2
92.0,144.0,134.0,88.0,2
68.0,135.0,135.0,75.0,3
68.0,135.0,135.0,76.0,3
68.0,135.0,135.0,77.0,3
68.0,136.0,135.0,77.0,3
68.0,135.0,135.0,76.0,3
68.0,135.0,135.0,76.0,3
68.0,135.0,135.0,75.0,3
68.0,135.0,135.0,75.0,3
68.0,135.0,135.0,75.0,3
68.0,135.0,135.0,75.0,3
68.0,135.0,135.0,75.0,3
68.0,136.0,136.0,76.0,3
69.0,136.0,135.0,75.0,3
68.0,136.0,135.0,75.0,3
68.0,136.0,136.0,75.0,3
68.0,136.0,136.0,75.0,3
68.0,136.0,136.0,75.0,3
68.0,136.0,136.0,75.0,3
68.0,136.0,136.0,76.0,3
68.0,136.0,135.0,75.0,3
