event,Hora normalizada,key,user,session_id
keydown,48557726,103,User6,366841886
keyup,48557814,103,User6,366841886
keydown,48557936,96,User6,366841886
keyup,48558022,96,User6,366841886
keydown,48558052,83,User6,366841886
keydown,48558136,0,User6,366841886
keyup,48558200,83,User6,366841886
keyup,48558222,0,User6,366841886
keydown,48558305,104,User6,366841886
keyup,48558394,104,User6,366841886
keydown,48558415,87,User6,366841886
keyup,48558503,87,User6,366841886
keydown,48558639,108,User6,366841886
keydown,48558746,0,User6,366841886
keyup,48558769,108,User6,366841886
keyup,48558834,0,User6,366841886
keydown,48558912,94,User6,366841886
keyup,48559112,94,User6,366841886
keydown,48559132,87,User6,366841886
keyup,48559197,87,User6,366841886
keydown,48559525,38,User6,366841886
keyup,48559613,38,User6,366841886
keydown,48560143,94,User6,366841886
keyup,48560210,94,User6,366841886
keydown,48560230,87,User6,366841886
keyup,48560299,87,User6,366841886
keydown,48560801,104,User6,366841886
keyup,48560910,104,User6,366841886
keyup,48561021,43,User6,366841886
keydown,48561231,97,User6,366841886
keyup,48561316,97,User6,366841886
keydown,48561452,0,User6,366841886
keyup,48561563,0,User6,366841886
keydown,48561816,100,User6,366841886
keydown,48561924,87,User6,366841886
keyup,48561966,100,User6,366841886
keyup,48562010,87,User6,366841886
keydown,48562174,89,User6,366841886
keyup,48562305,89,User6,366841886
keydown,48562306,91,User6,366841886
keyup,48562371,91,User6,366841886
keydown,48562450,101,User6,366841886
keyup,48562606,101,User6,366841886
keydown,48562789,102,User6,366841886
keydown,48562917,100,User6,366841886
keyup,48562939,102,User6,366841886
keyup,48563024,100,User6,366841886
keydown,48563076,97,User6,366841886
keyup,48563165,97,User6,366841886
keydown,48563221,101,User6,366841886
keyup,48563352,101,User6,366841886
keydown,48563374,0,User6,366841886
keyup,48563461,0,User6,366841886
keydown,48563462,86,User6,366841886
keydown,48563591,87,User6,366841886
keyup,48563636,86,User6,366841886
keyup,48563679,87,User6,366841886
keydown,48563680,0,User6,366841886
keyup,48563766,0,User6,366841886
keydown,48563850,101,User6,366841886
keydown,48563980,103,User6,366841886
keyup,48564002,101,User6,366841886
keyup,48564045,103,User6,366841886
keydown,48564202,0,User6,366841886
keyup,48564292,0,User6,366841886
keydown,48564410,83,User6,366841886
keydown,48564431,85,User6,366841886
keyup,48564474,85,User6,366841886
keyup,48564496,83,User6,366841886
keydown,48564555,85,User6,366841886
keydown,48564579,83,User6,366841886
keyup,48564644,85,User6,366841886
keyup,48564687,83,User6,366841886
keydown,48564785,0,User6,366841886
keyup,48564892,0,User6,366841886
keydown,48566094,38,User6,366841886
keyup,48566159,38,User6,366841886
keydown,48566255,38,User6,366841886
keyup,48566322,38,User6,366841886
keydown,48566381,38,User6,366841886
keyup,48566424,38,User6,366841886
keydown,48566533,38,User6,366841886
keyup,48566599,38,User6,366841886
keydown,48566777,38,User6,366841886
keyup,48566908,38,User6,366841886
keydown,48567030,85,User6,366841886
keyup,48567117,85,User6,366841886
keydown,48567236,83,User6,366841886
keyup,48567394,83,User6,366841886
keydown,48567454,85,User6,366841886
keyup,48567540,85,User6,366841886
keydown,48567609,83,User6,366841886
keyup,48567715,83,User6,366841886
keydown,48567716,0,User6,366841886
keyup,48567823,0,User6,366841886
keydown,48567941,102,User6,366841886
keyup,48568071,102,User6,366841886
keydown,48568072,97,User6,366841886
keyup,48568178,97,User6,366841886
keydown,48568224,86,User6,366841886
keyup,48568312,86,User6,366841886
keydown,48568313,97,User6,366841886
keyup,48568380,97,User6,366841886
keydown,48568381,101,User6,366841886
keyup,48568468,101,User6,366841886
keydown,48568489,0,User6,366841886
keyup,48568557,0,User6,366841886
keydown,48568627,94,User6,366841886
keyup,48568736,94,User6,366841886
keydown,48568792,97,User6,366841886
keyup,48568904,97,User6,366841886
keydown,48568905,101,User6,366841886
keydown,48568985,0,User6,366841886
keyup,48569008,101,User6,366841886
keyup,48569051,0,User6,366841886
keydown,48569311,86,User6,366841886
keyup,48569422,86,User6,366841886
keyup,48569445,43,User6,366841886
keydown,48569628,91,User6,366841886
keydown,48569692,83,User6,366841886
keyup,48569714,91,User6,366841886
keydown,48569779,101,User6,366841886
keyup,48569800,83,User6,366841886
keyup,48569890,101,User6,366841886
keydown,48570260,11,User6,366841886
keyup,48570326,11,User6,366841886
keydown,48570437,0,User6,366841886
keyup,48570503,0,User6,366841886
keydown,48570594,98,User6,366841886
keydown,48570616,83,User6,366841886
keyup,48570680,98,User6,366841886
keyup,48570745,83,User6,366841886
keydown,48570844,100,User6,366841886
keyup,48570954,100,User6,366841886
keydown,48571057,83,User6,366841886
keyup,48571210,83,User6,366841886
keydown,48571230,0,User6,366841886
keyup,48571294,0,User6,366841886
keydown,48571423,91,User6,366841886
keydown,48571531,96,User6,366841886
keyup,48571554,91,User6,366841886
keyup,48571639,96,User6,366841886
keydown,48571736,88,User6,366841886
keyup,48571846,88,User6,366841886
