event,Hora normalizada,key,user,session_id
keydown,50288723,92,User8,366843262
keyup,50288788,92,User8,366843262
keydown,50288814,83,User8,366843262
keyup,50288898,83,User8,366843262
keydown,50288959,104,User8,366843262
keydown,50289018,83,User8,366843262
keyup,50289018,104,User8,366843262
keyup,50289082,83,User8,366843262
keydown,50289231,101,User8,366843262
keyup,50289297,101,User8,366843262
keydown,50289498,38,User8,366843262
keyup,50289582,38,User8,366843262
keydown,50289646,101,User8,366843262
keyup,50289742,101,User8,366843262
keydown,50289850,87,User8,366843262
keydown,50289851,100,User8,366843262
keyup,50289918,87,User8,366843262
keyup,50289921,100,User8,366843262
keydown,50289998,91,User8,366843262
keyup,50290058,91,User8,366843262
keydown,50290275,38,User8,366843262
keyup,50290349,38,User8,366843262
keydown,50290411,38,User8,366843262
keyup,50290491,38,User8,366843262
keydown,50290558,38,User8,366843262
keydown,50290624,85,User8,366843262
keyup,50290657,38,User8,366843262
keyup,50290686,85,User8,366843262
keydown,50290798,100,User8,366843262
keydown,50290878,91,User8,366843262
keyup,50290927,100,User8,366843262
keyup,50290942,91,User8,366843262
keydown,50291086,98,User8,366843262
keydown,50291135,102,User8,366843262
keyup,50291167,98,User8,366843262
keyup,50291246,102,User8,366843262
keydown,50292343,47,User8,366843262
keyup,50292575,47,User8,366843262
keydown,50293215,93,User8,366843262
keyup,50293280,93,User8,366843262
keydown,50293438,0,User8,366843262
keyup,50293503,0,User8,366843262
keydown,50293663,90,User8,366843262
keyup,50293739,90,User8,366843262
keydown,50293884,97,User8,366843262
keyup,50294001,97,User8,366843262
keydown,50294014,100,User8,366843262
keyup,50294079,100,User8,366843262
keydown,50294174,100,User8,366843262
keydown,50294239,97,User8,366843262
keyup,50294255,100,User8,366843262
keyup,50294319,97,User8,366843262
keydown,50294367,100,User8,366843262
keyup,50294472,100,User8,366843262
keydown,50294574,0,User8,366843262
keyup,50294650,0,User8,366843262
keydown,50294768,95,User8,366843262
keyup,50294835,95,User8,366843262
keydown,50294958,103,User8,366843262
keydown,50295022,87,User8,366843262
keyup,50295039,103,User8,366843262
keyup,50295086,87,User8,366843262
keydown,50295166,100,User8,366843262
keyup,50295247,100,User8,366843262
keydown,50295359,102,User8,366843262
keyup,50295407,102,User8,366843262
keydown,50295546,87,User8,366843262
keyup,50295663,87,User8,366843262
keydown,50296079,47,User8,366843262
keyup,50296154,47,User8,366843262
keydown,54518255,87,User8,366843262
